ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
82.0,18.4,1100.0,33.0,-5.5,3.47,0.0,18.4,59.2,0.6860223938846877,0.3771448440411331,0.6860223938846877
82.0,40.0,777.0,57.0,-2.3,4.67,6.0,20.8,52.9,0.6873970904780387,0.3772359480170741,0.6873970904780387
83.0,50.6,1470.0,31.0,3.9,10.21,1.0,26.7,57.3,0.6897494004297687,0.3766779138580667,0.6897494004297687
83.0,40.0,758.0,53.0,-1.6,4.3,6.0,20.8,57.6,0.6914358333128476,0.3769381441228226,0.6914358333128476
83.0,73.3,1336.0,47.0,0.0,16.83,14.0,32.5,58.0,0.694230381910922,0.3757947790992466,0.694230381910922
83.0,93.3,1441.0,64.0,1.6,20.7,31.0,34.5,61.6,0.6962995943791624,0.3757435035247689,0.6962995943791624
83.0,18.8,2186.0,79.0,3.9,6.06,38.0,23.5,62.4,0.6976670532321712,0.3755969401035426,0.6976670532321712
83.0,95.7,2009.0,72.0,-6.2,28.53,48.0,36.5,63.5,0.6982752959606495,0.3755067802636335,0.6982752959606495
83.0,86.7,2511.0,50.0,0.0,32.86,52.0,36.9,67.8,0.6993100492688507,0.3753859097336078,0.6993100492688507
83.0,61.6,1748.0,50.0,-10.9,15.66,53.0,31.8,68.6,0.6990325439462894,0.3752446726482233,0.6990325439462894
83.0,61.6,1780.0,53.0,-3.1,16.17,53.0,31.8,68.6,0.6990691534833573,0.3750659217098482,0.6990691534833573
84.0,62.0,1772.0,23.0,5.5,17.7,53.0,34.1,68.6,0.6994801280710944,0.3749706148550256,0.6994801280710944
84.0,90.2,1462.0,52.0,1.6,17.93,47.0,33.3,69.8,0.6994996955841346,0.3749429283553189,0.6994996955841346
84.0,100.0,1331.0,60.0,7.0,20.24,53.0,36.1,54.1,0.6987573457553751,0.3749159420339846,0.6987573457553751
84.0,80.4,1521.0,52.0,-4.7,17.85,61.0,32.5,64.7,0.6986215884007401,0.3746115524305953,0.6986215884007401
84.0,60.8,1720.0,50.0,-1.6,15.51,66.0,31.8,68.6,0.6978873711551347,0.3745262749688151,0.6978873711551347
84.0,58.8,1806.0,47.0,-4.7,15.8,65.0,31.8,69.0,0.6966246437960604,0.3746970354902023,0.6966246437960604
84.0,56.1,1756.0,47.0,-3.9,14.57,62.0,31.0,69.4,0.696582402630201,0.3746955532360538,0.696582402630201
84.0,65.5,1695.0,58.0,2.3,17.36,63.0,32.5,68.2,0.6954241847795758,0.3747968709983829,0.6954241847795758
83.0,58.4,1734.0,48.0,1.6,14.7,64.0,31.4,68.6,0.6940534075772045,0.3747746564820622,0.6940534075772045
83.0,56.1,1751.0,46.0,3.9,14.81,64.0,31.0,69.4,0.6924978999634974,0.374644431621483,0.6924978999634974
83.0,50.6,1772.0,41.0,-0.8,13.57,65.0,30.6,69.8,0.6903825362078813,0.3750492170086,0.6903825362078813
83.0,28.2,1776.0,19.0,0.0,4.54,56.0,21.6,71.0,0.688462211899572,0.3754420483916129,0.688462211899572
83.0,18.4,1230.0,27.0,10.2,3.53,16.0,19.2,61.2,0.6896492787789015,0.3752519409798986,0.6896492787789015
83.0,38.0,794.0,66.0,-3.1,3.33,20.0,19.2,54.1,0.6891396539176834,0.3758729135627262,0.6891396539176834
83.0,100.0,1187.0,72.0,3.9,16.04,33.0,32.5,51.4,0.6850717180670133,0.3776957901277341,0.6850717180670133
83.0,88.6,1826.0,71.0,-3.1,23.92,46.0,34.9,65.1,0.6843694935270039,0.3776000970215612,0.6843694935270039
