ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
83.0,38.0,796.0,34.0,1.6,4.38,19.0,20.4,54.9,0.6813729299268549,0.37301641823963116,0.6813729299268549
83.0,36.9,786.0,52.0,1.6,3.57,13.0,18.4,55.3,0.6828625152388174,0.37328935054513634,0.6828625152388174
83.0,64.7,1412.0,32.0,3.9,13.96,18.0,27.8,65.1,0.6825622857525182,0.3739245326201098,0.6825622857525182
83.0,44.7,750.0,36.0,6.2,4.6,13.0,22.0,54.5,0.6834264940003999,0.37428111767547495,0.6834264940003999
82.0,40.4,810.0,33.0,-2.3,4.48,2.0,20.8,54.9,0.6825979201135974,0.37456637666006326,0.6825979201135974
82.0,39.6,781.0,31.0,-1.6,4.34,0.0,20.8,56.9,0.6800412981021237,0.37559711873146684,0.6800412981021237
82.0,41.6,796.0,33.0,-7.0,4.54,0.0,20.8,59.2,0.6801875691761877,0.37598678656428414,0.6801875691761877
82.0,40.8,791.0,34.0,0.0,4.73,0.0,21.2,55.7,0.6789842417819546,0.3767728305936153,0.6789842417819546
82.0,42.7,776.0,35.0,0.0,4.71,0.0,21.6,62.4,0.6731972772357396,0.37949363035314054,0.6731972772357396
82.0,40.4,808.0,35.0,0.8,4.42,0.0,20.8,57.3,0.6751044637617919,0.3777823714064818,0.6751044637617919
82.0,38.0,793.0,33.0,0.0,4.4,0.0,20.8,58.0,0.6748549905946529,0.37786969478591603,0.6748549905946529
82.0,41.6,798.0,54.0,-3.1,4.53,7.0,21.2,54.9,0.6754736600711587,0.3780523048066509,0.6754736600711587
82.0,48.6,1589.0,28.0,0.0,12.29,12.0,30.2,63.5,0.6764710536110202,0.37666393093491746,0.6764710536110202
82.0,60.8,1009.0,51.0,0.0,9.85,15.0,28.6,62.7,0.6765870352192173,0.37672919790619286,0.6765870352192173
82.0,59.6,1279.0,44.0,0.8,11.38,16.0,29.0,63.1,0.6683978040937704,0.38163538363440175,0.6683978040937704
82.0,52.5,1316.0,43.0,-5.5,9.98,15.0,28.6,64.3,0.6654587828767027,0.38181099499916227,0.6654587828767027
