ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
30.6,815.0,34.0,3.9,3.5,2.0,19.6,0.8956475816387213,0.1359000833174958,0.8956475816387213,0.1199164550305535
28.6,841.0,36.0,-3.9,6.18,11.0,26.3,0.903300363813652,0.122860308225379,0.903300363813652,0.1348127959568991
13.3,1469.0,32.0,8.6,3.15,6.0,20.0,0.8894884676733125,0.1419280045303758,0.8894884676733125,0.1382165417389733
60.8,717.0,49.0,-4.7,6.02,14.0,25.1,0.8894884676733125,0.1419280045303758,0.8894884676733125,0.1330029814382668
21.6,1508.0,19.0,-1.6,9.76,15.0,25.5,0.8894884676733125,0.1419280045303748,0.8894884676733125,0.1261323224465616
19.2,1168.0,32.0,3.1,3.78,13.0,18.8,0.873640667546669,0.1614034614081129,0.873640667546669,0.1322320843121463
40.0,813.0,55.0,-2.3,4.41,5.0,20.8,0.8587172275415812,0.1796807057840894,0.8587172275415812,0.1369923038641437
66.3,1446.0,24.0,0.0,13.06,18.0,31.0,0.8534107044001862,0.1830313156905856,0.8534107044001862,0.1384056889013225
44.3,1793.0,19.0,0.8,11.66,16.0,29.8,0.8606813622303432,0.1770391629236301,0.8606813622303432,0.1368308466692612
61.2,1441.0,68.0,6.2,17.36,32.0,33.3,0.8688763801820556,0.1705004680218211,0.8688763801820556,0.1216664402693796
20.4,2100.0,72.0,-1.6,6.13,40.0,23.5,0.8732585432018951,0.1673996889020619,0.8732585432018951,0.1097097739829582
84.7,2113.0,61.0,2.3,26.56,51.0,35.7,0.8776407062217348,0.1642591588687815,0.8776407062217348,0.1049495544309609
17.6,1291.0,21.0,10.2,3.5,32.0,20.4,0.8858357241734472,0.1574080268285604,0.8858357241734472,0.092266528719225
20.8,1017.0,37.0,3.9,2.65,17.0,18.4,0.8814535611536077,0.1606272051847599,0.8814535611536077,0.0921794864855383
