ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
60.4,1692.0,62.0,0.0,15.29,42.0,31.8,0.889997816275371,0.11574037795809018,0.889997816275371,0.21120400602740563
24.7,1031.0,33.0,-0.8,2.6,19.0,19.2,0.909459477779061,0.09354909839702373,0.909459477779061,0.09190646265944821
38.4,779.0,35.0,-2.3,4.07,9.0,20.4,0.897650598450302,0.10262344891273593,0.897650598450302,0.09716891830810737
32.5,814.0,31.0,0.0,4.01,1.0,19.6,0.895774805896006,0.10438955814626377,0.895774805896006,0.10105419774702787
40.8,805.0,44.0,-3.1,4.17,3.0,20.4,0.897650598450302,0.1026234489127356,0.897650598450302,0.10400460278039286
63.5,846.0,48.0,0.0,9.0,16.0,28.2,0.9024148858149156,0.09734816170238861,0.9024148858149156,0.09548902159363104
50.2,2304.0,32.0,-7.8,17.11,33.0,32.2,0.9024148858149156,0.09734816170238927,0.9024148858149156,0.09052089406314223
38.0,2822.0,42.0,3.1,8.32,39.0,25.9,0.9349241947693971,0.07681958120011065,0.9349241947693971,0.06686422493073664
61.6,2067.0,39.0,0.8,18.78,46.0,32.9,0.9200007547643091,0.1041985781502479,0.9200007547643091,0.10712067050006462
47.8,2362.0,30.0,0.0,14.81,51.0,29.8,0.9171122599539917,0.10775844407536478,0.9171122599539917,0.10819260272405108
37.3,2612.0,19.0,3.1,14.25,56.0,31.0,0.9189880525082877,0.10594696234817283,0.9189880525082877,0.1072111906457074
19.2,1888.0,37.0,10.9,8.75,58.0,27.8,0.9189880525082877,0.10594696234817148,0.9189880525082877,0.1072111906457074
19.6,1911.0,41.0,3.9,5.5,56.0,23.5,0.9266408346832188,0.092261323674749,0.9266408346832188,0.11484062696901619
18.0,1600.0,48.0,3.1,4.14,48.0,21.6,0.9107930345565755,0.11362333223876948,0.9107930345565755,0.12395043927765022
71.0,1622.0,79.0,2.3,16.37,53.0,32.2,0.823490731304999,0.1719940402342455,0.823490731304999,0.27876428726496394
79.2,2070.0,78.0,4.7,24.5,66.0,34.9,0.8216149387507028,0.17341885351882372,0.8216149387507028,0.27386672101174125
